label,text
ham,"Hocam, pazartesi günü ofis saatinize gelemeyeceğim, uzaktan görüşebilir miyiz?"
ham,Toplantı odası değişikliği: Yarın A-301 yerine C-105'te görüşeceğiz.
spam,Uzaktan çalışma sistemi ile günde 3000 TL kazanın!
ham,Gelecek hafta Kariyer Günleri etkinliği düzenlenecektir.
spam,"Yüksek lisans şartı yok, aynı gün içinde diploma veriyoruz!"
spam,BEDAVA KREDİ KAZANMA FIRSATI! Hemen tıklayın.
spam,Sınavsız yüksek lisans fırsatı! Dönemi kaçırmayın!
spam,"Balıkesir Üniversitesi'nde part-time iş, kolay kazanç tıklayın!"
spam,"Banka hesabınızı güncelleyin, aksi halde kapatılacaktır!"
ham,Rektörlük duyurusu: Bayram tatili 3 gün uzatılmıştır.
spam,TEZ danışmanlığı %80 indirimde! Profesyonel yardım için tıklayın.
spam,Kampüs kantinlerinde bedava yemek fişi! Hemen kaydolun!
ham,"Akademik takvimde güncelleme yapılmıştır, lütfen inceleyin."
spam,En yeni kopya yöntemleri! Yakalama riskiniz sıfır!
ham,Uzaktan eğitimde kamera ve mikrofon kullanımına özen gösterelim.
ham,"Hocam merhaba, proje ödevim hakkında bir soru sormak istiyorum."
ham,"Sayın öğrenciler, yarınki dersimiz saat 10:00'a alınmıştır."
spam,Sınavsız yüksek lisans fırsatı! Dönemi kaçırmayın!
ham,Öğrenci işleri ofisi öğle arası saatlerinde kapalı olacaktır.
spam,Acil duyuru! Kredi Yurtlar Kurumu ödemesi için onay formu.
ham,"Sayın hocalarım, bölüm seminerinin programını ekte gönderiyorum."
spam,"E-mail hesabınız bloke oldu, güncelleme için buraya girin."
spam,Sınavsız yüksek lisans fırsatı! Dönemi kaçırmayın!
spam,Rektörlük ikramiyeniz hazır! Kişisel verilerinizi girin.
spam,Acil duyuru! Kredi Yurtlar Kurumu ödemesi için onay formu.
ham,Lütfen anketimize katılarak uzaktan eğitim hakkındaki görüşlerinizi belirtin.
ham,Yarın yapılacak staj sunumlarına tüm öğrenciler davetlidir.
ham,Uzaktan eğitimde kamera ve mikrofon kullanımına özen gösterelim.
ham,Öğrenci işleri ofisi öğle arası saatlerinde kapalı olacaktır.
ham,Üniversite içinde maske takma zorunluluğu kaldırılmıştır.
ham,"Ders notlarıma OBS üzerinden erişebilirsiniz, başarılar dilerim."
ham,"Üniversite kütüphanesi yeni kitap alımları yapmıştır, duyurulur."
ham,Toplantı odası değişikliği: Yarın A-301 yerine C-105'te görüşeceğiz.
ham,Öğrenci topluluğu olarak kampüste ağaç dikme etkinliği düzenliyoruz.
spam,Şifrenizi güncellemezseniz hesabınız silinecektir. Tıklayın!
spam,Acil duyuru! Kredi Yurtlar Kurumu ödemesi için onay formu.
spam,Diş tedavisi için kampanya: Öğrenciye özel bedava muayene!
ham,"Ders notlarıma OBS üzerinden erişebilirsiniz, başarılar dilerim."
spam,Bu linke tıklayarak yurt ücretini %50 azaltabilirsiniz!
ham,"Akademik takvimde güncelleme yapılmıştır, lütfen inceleyin."
ham,"Akademik takvimde güncelleme yapılmıştır, lütfen inceleyin."
spam,Size özel araç kampanyası: Öğrenci kimliğinizle 50.000 TL indirim!
ham,"Akademik takvimde güncelleme yapılmıştır, lütfen inceleyin."
spam,Balıkesir Üniversitesi özel çekiliş! 10.000 TL kazandınız!
spam,Vize-final stresine son: Stres önleyici ilaç için sipariş verin!
ham,Dönem projesi için grup listelerini hafta sonuna kadar iletiniz.
ham,Öğrenci işleri ofisi öğle arası saatlerinde kapalı olacaktır.
spam,ÖĞRENCİLER İÇİN EV HİZMETLERİNDE %90 İNDİRİM! Kaçırmayın!
