label,text
ham,Eğitim bölümü oryantasyon tarihi 9/19/2024 olarak güncellenmiştir.
spam,Günde 6000 TL kazanç! Öğrenciler için part-time iş!
ham,"Değerli öğrencilerimiz, A Blok oryantasyon ertelenmiştir."
ham,Öğrenci kulübü seminer etkinliği 04/08/2024 tarihinde B Blok gerçekleşecektir.
ham,6/22/2024 tarihli Quiz sınavı C Blok yapılacaktır.
ham,4/16/2024 tarihli Fakülte Kurulu toplantısı Merkez Kampüs yapılacaktır.
spam,ACIL! Burs Belgesi için son 72 saat!
spam,BAUN öğrencilerine özel Telefon kampanyası! %10 indirim!
spam,BAUN öğrencilerine özel Bilgisayar kampanyası! %50 indirim!
ham,Başarı Bursu bursu başvuruları 2/22/2024 tarihinde başlayacaktır.
spam,ACIL! Kimlik için son 24 saat!
ham,"Değerli öğrencilerimiz, C Blok konferans ertelenmiştir."
spam,ACIL! Transkript için son 24 saat!
spam,Öğrenci kredisi borcunuz siliniyor! Hemen başvurun!
ham,Öğrenci kulübü seminer etkinliği 8/19/2024 tarihinde B Blok gerçekleşecektir.
ham,10/21/2024 tarihli Vize sınavı C Blok yapılacaktır.
spam,Yurt hizmetinde büyük indirim! Kaçırmayın!
spam,Sınavsız Yüksek Lisans fırsatı! Hemen başvurun!
spam,"Tebrikler! Hediye Çeki kazandınız, hemen tıklayın!"
ham,"Sayın Sayın öğrencilerimiz, 7/14/2024 tarihli seminer hakkında bilgilendirme."
spam,ACIL! Diploma için son 72 saat!
spam,"Tebrikler! Hediye Çeki kazandınız, hemen tıklayın!"
ham,İİBF Fakültesi 4/28/2024 tarihli ders programı güncellenmiştir.
ham,"Değerli öğrencilerimiz, B Blok teknik gezi ertelenmiştir."
ham,Öğrenci kulübü workshop etkinliği 6/10/2024 tarihinde A Blok gerçekleşecektir.
ham,"Sayın Sevgili öğrenciler, 12/27/2024 tarihli seminer hakkında bilgilendirme."
ham,BAUN Bilgisayar Mühendisliği semineri 6/17/2024 tarihinde A Blok gerçekleşecektir.
spam,"Tebrikler! Hediye Çeki kazandınız, hemen tıklayın!"
ham,07/01/2024 tarihli Yönetim Kurulu toplantısı Çağış Kampüsü yapılacaktır.
ham,"Sayın Öğrencilerimiz, 10/1/2024 tarihli seminer hakkında bilgilendirme."
ham,Öğrenci kulübü konferans etkinliği 3/14/2024 tarihinde Kongre Merkezi gerçekleşecektir.
ham,"Değerli öğrencilerimiz, B Blok konferans ertelenmiştir."
spam,BAUN öğrencilerine özel %10 indirim fırsatı!
spam,BAUN öğrencilerine özel Telefon kampanyası! %20 indirim!
spam,BAUN öğrencilerine özel Tablet kampanyası! %30 indirim!
spam,DİKKAT! 7000 TL ödülünüzü almak için tıklayın!
ham,"Sayın Sevgili öğrenciler, 06/05/2024 tarihli seminer hakkında bilgilendirme."
ham,Öğrenci kulübü teknik gezi etkinliği 05/06/2024 tarihinde Merkez Kampüs gerçekleşecektir.
ham,İİBF Fakültesi 5/18/2024 tarihli ders programı güncellenmiştir.
spam,DİKKAT! 6000 TL ödülünüzü almak için tıklayın!
spam,Kırtasiye hizmetinde büyük indirim! Kaçırmayın!
ham,Mimarlık Fakültesi 9/12/2024 tarihli ders programı güncellenmiştir.
ham,11/20/2024 tarihli Senato toplantısı B Blok yapılacaktır.
ham,İİBF Fakültesi 06/03/2024 tarihli ders programı güncellenmiştir.
spam,"Tebrikler! Akıllı Telefon kazandınız, hemen tıklayın!"
spam,Günde 3000 TL kazanç! Öğrenciler için part-time iş!
spam,Öğrenci kredisi borcunuz siliniyor! Hemen başvurun!
spam,"Tebrikler! Tablet kazandınız, hemen tıklayın!"
spam,Ulaşım hizmetinde büyük indirim! Kaçırmayın!
spam,Sınavsız Sertifika fırsatı! Hemen başvurun!
ham,8/16/2024 tarihli Yönetim Kurulu toplantısı Merkez Kampüs yapılacaktır.
spam,Sınavsız Diploma fırsatı! Hemen başvurun!
spam,DİKKAT! 3000 TL ödülünüzü almak için tıklayın!
spam,Günde 7000 TL kazanç! Öğrenciler için part-time iş!
ham,Tıp bölümü workshop tarihi 7/15/2024 olarak güncellenmiştir.
spam,ACIL! Kimlik için son 24 saat!
ham,Tıp Fakültesi 6/17/2024 tarihli ders programı güncellenmiştir.
spam,BAUN öğrencilerine özel %20 indirim fırsatı!
spam,"Tebrikler! Akıllı Telefon kazandınız, hemen tıklayın!"
ham,"Sayın öğrencilerimiz, Kimya dersi ödevini teslim aldım, teşekkürler."
ham,08/07/2024 tarihli Fakülte Kurulu toplantısı Çağış Kampüsü yapılacaktır.
spam,Günde 8000 TL kazanç! Öğrenciler için part-time iş!
ham,BAUN Makine Mühendisliği semineri 04/01/2024 tarihinde A Blok gerçekleşecektir.
spam,ÖNEMLİ: OBS hesabınız aktivasyon gerekiyor!
ham,TÜBİTAK Bursu bursu başvuruları 7/23/2024 tarihinde başlayacaktır.
ham,BAUN Elektrik-Elektronik semineri 3/21/2024 tarihinde Kongre Merkezi gerçekleşecektir.
spam,DİKKAT! 9000 TL ödülünüzü almak için tıklayın!
ham,Öğrenci kulübü teknik gezi etkinliği 04/04/2024 tarihinde C Blok gerçekleşecektir.
ham,"Öğrencilerimiz, Fizik dersi ödevini teslim aldım, teşekkürler."
ham,Tıp bölümü konferans tarihi 04/08/2024 olarak güncellenmiştir.
spam,ACIL! Transkript için son 24 saat!
spam,Yurt hizmetinde büyük indirim! Kaçırmayın!
spam,BAUN öğrencilerine özel Yazıcı kampanyası! %70 indirim!
ham,Mimarlık Fakültesi 4/24/2024 tarihli ders programı güncellenmiştir.
spam,"Tebrikler! Tablet kazandınız, hemen tıklayın!"
